Unnamed: 0.1,Unnamed: 0,date,drawal_schedule_mu,energy_met_mu,energy_shortage_mu,max_demand_met_during_the_day_mw,max_od_mw,od_ud,shortage_during_maximum_demand_mw,states,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,holiday_type,predicted_energy_met_mu
1082,39306,2024-08-01,75.6,88.38,0.0,5256.0,220.0,-1.45,0.0,Delhi,2024-08-01,29.2,24.3,37.8,108.0,0.0,184.0,3.3,0.0,998.1,0.0,0,86.16237114074598
1109,40514,2024-08-02,66.13,80.91,0.0,4701.0,279.0,-0.15,0.0,Delhi,2024-08-02,30.8,26.5,33.4,2.0,0.0,92.0,4.8,0.0,996.7,0.0,0,88.20345890632527
1132,41514,2024-08-03,62.33,70.61,0.0,4419.0,231.0,-0.37,0.0,Delhi,2024-08-03,31.3,27.0,34.4,0.0,0.0,101.0,7.7,0.0,998.1,0.0,0,73.88621844626067
1156,42589,2024-08-04,81.58,88.58,0.0,4317.0,189.0,-0.09,0.0,Delhi,2024-08-04,30.7,27.0,34.8,0.5,0.0,87.0,9.2,0.0,999.7,0.0,1,90.32783370603471
1182,43714,2024-08-05,112.3,128.64,0.0,6310.0,271.0,-8.86,0.0,Delhi,2024-08-05,30.4,26.0,36.0,5.1,0.0,88.0,12.9,0.0,999.3,0.0,0,119.79004758130299
1209,44912,2024-08-06,124.41,142.97,0.0,7340.0,169.0,-1.43,0.0,Delhi,2024-08-06,30.3,26.6,34.0,0.0,0.0,156.0,7.6,0.0,998.4,0.0,0,133.1335073144934
1235,46034,2024-08-07,109.73,119.64,0.0,5735.0,198.0,-1.93,0.0,Delhi,2024-08-07,28.0,26.4,35.2,0.3,0.0,148.0,5.4,0.0,999.4,0.0,0,109.06582467196068
1262,47210,2024-08-08,117.23,128.28,0.0,6171.0,299.0,-1.71,0.0,Delhi,2024-08-08,29.4,25.4,32.8,21.1,0.0,98.0,5.6,0.0,1000.9,0.0,0,137.67461519600175
1289,48421,2024-08-09,102.2,110.23,0.0,5155.0,312.0,-0.62,0.0,Delhi,2024-08-09,29.4,26.6,34.6,3.0,0.0,98.0,4.7,0.0,1001.9,0.0,0,112.4591815488908
1263,47409,2024-08-13,110.35,121.93,0.0,5879.0,226.0,-1.31,0.0,Delhi,2024-08-13,28.7,25.0,32.0,20.1,0.0,90.0,4.1,0.0,1002.1,0.0,0,127.00405788213438
1264,47467,2024-08-14,116.78,128.14,0.0,6263.0,294.0,-1.64,0.0,Delhi,2024-08-14,31.2,26.6,35.2,13.0,0.0,92.0,4.1,0.0,1002.7,0.0,0,115.8535394198128
1265,47488,2024-08-15,102.01,112.98,0.0,5897.0,300.0,-1.89,0.0,Delhi,2024-08-15,29.7,27.0,35.4,0.0,0.0,107.0,5.6,0.0,1001.3,0.0,0,123.59808301945245
1266,47537,2024-08-16,116.23,129.73,0.0,6517.0,262.0,-0.65,0.0,Delhi,2024-08-16,30.5,25.3,34.6,14.0,0.0,123.0,5.4,0.0,1000.6,0.0,0,138.35555675820774
1267,47576,2024-08-17,112.99,132.62,0.0,6179.0,286.0,1.32,0.0,Delhi,2024-08-17,30.7,27.2,35.2,6.1,0.0,1.0,2.8,0.0,1002.9,0.0,0,124.99008257163061
1268,47623,2024-08-18,108.32,130.44,0.0,6338.0,500.0,3.89,0.0,Delhi,2024-08-18,30.9,27.0,35.5,0.0,0.0,286.0,4.0,0.0,1003.6,0.0,1,122.13944974449885
1269,47654,2024-08-19,108.88,129.02,0.0,6262.0,704.0,1.83,0.0,Delhi,2024-08-19,31.3,27.6,35.0,0.0,0.0,277.0,4.5,0.0,1002.6,0.0,0,120.85056997225801
1270,47688,2024-08-20,109.71,126.33,0.0,5895.0,389.0,0.77,0.0,Delhi,2024-08-20,29.3,25.2,32.4,14.3,0.0,290.0,4.0,0.0,1002.8,0.0,0,121.38398451061568
1271,47722,2024-08-21,118.01,129.71,0.0,6437.0,302.0,-0.27,0.0,Delhi,2024-08-21,30.4,27.0,35.6,5.9,0.0,317.0,3.0,0.0,1003.8,0.0,0,130.35223134940352
1272,47756,2024-08-22,124.76,138.65,0.0,6793.0,453.0,1.66,0.0,Delhi,2024-08-22,30.8,28.1,36.0,4.5,0.0,264.0,4.5,0.0,1002.8,0.0,0,136.7628353669459
1273,47796,2024-08-23,117.37,129.73,0.0,6233.0,346.0,-0.45,0.0,Delhi,2024-08-23,28.4,26.5,36.6,4.1,0.0,346.0,2.8,0.0,1003.5,0.0,0,124.31323127157839
1274,47847,2024-08-24,114.69,127.08,0.0,6086.0,306.0,-0.09,0.0,Delhi,2024-08-24,30.9,25.4,34.8,0.0,0.0,52.0,2.8,0.0,1002.9,0.0,0,129.92285317226398
1275,47879,2024-08-25,109.75,121.86,0.0,6058.0,391.0,-0.58,0.0,Delhi,2024-08-25,31.2,25.4,35.6,0.5,0.0,80.0,8.9,0.0,1000.8,0.0,1,113.07374437181157
1276,47899,2024-08-26,112.46,124.39,0.0,5975.0,344.0,-0.43,0.0,Delhi,2024-08-26,30.4,27.7,35.6,0.0,0.0,88.0,9.5,0.0,1000.5,0.0,0,119.21897456625916
1277,47955,2024-08-27,115.35,127.19,0.0,6047.0,528.0,-0.51,0.0,Delhi,2024-08-27,29.4,22.2,35.6,17.0,0.0,95.0,9.6,0.0,1002.9,0.0,0,123.79051256970493
1278,48006,2024-08-28,114.25,125.58,0.0,6068.0,295.0,-1.07,0.0,Delhi,2024-08-28,28.8,23.4,34.2,9.9,0.0,85.0,5.8,0.0,1003.4,0.0,0,124.47665372359508
1279,48011,2024-08-29,108.15,118.84,0.0,5565.0,245.0,-1.44,0.0,Delhi,2024-08-29,26.7,23.0,34.0,77.0,0.0,86.0,4.5,0.0,1002.7,0.0,0,125.61806225038916
1280,48081,2024-08-30,111.68,124.91,0.0,6158.0,268.0,0.87,0.0,Delhi,2024-08-30,29.7,24.0,33.8,11.9,0.0,111.0,5.3,0.0,1004.1,0.0,0,117.40725042588015
1281,48120,2024-08-31,113.96,128.6,0.0,6246.0,452.0,2.23,0.0,Delhi,2024-08-31,31.9,25.4,35.0,0.0,0.0,99.0,5.4,0.0,1003.9,0.0,0,128.96610975599808
